tournament_code,event_id,results_file_name
TR_RCR_28,2011-019999,dutch_championship_2011_results
TR_RCR_29,2011-019999,copenhagen_open_2011_results
TR_RCR_44,2012-019999,copenhagen_open_2012_results
TR_RCR_196,2018-019999,marseille_open_2018_results
TR_RCR_231,2019-019999,oryu_maajan_taisen_2019_results
TR_RCR_251,2019-019999,paris_2019_results
TR_RCR_272,2022-019999,manganneken_pis_2022_results
TR_RCR_295,2023-019999,danish_riichi_championship_2023_results
TR_RCR_296,2023-019999,ronmania_2023_results
TR_RCR_297,2023-019999,aru_hi_riichi_open_2023_results
TR_RCR_306,2023-019999,manganneken_pis_2023_results
TR_RCR_309,2023-019999,paris_2023_results
TR_RCR_313,2023-019999,furiten_ya_2023_results
TR_RCR_318,2023-019999,buchariichi_2023_results
TR_RCR_324,2024-019999,hatsumi_taikai_2024_results
TR_RCR_325,2024-019999,valencia_2024_results
TR_RCR_330,2024-019999,dutch_open_2024_results
TR_RCR_331,2024-019999,uk_spring_open_2024_results
TR_RCR_332,2024-019999,ronmania_2024_results
TR_RCR_336,2024-019999,breizh_open_2024_results
TR_RCR_342,2024-019999,riichi_supernova_2024_results
TR_RCR_348,2024-019999,danish_riichi_championship_2024_results
TR_RCR_349,2024-019999,vienna_riichi_open_2024_results
TR_RCR_350,2024-019999,paris_2024_results
